id,family_id,product_code,variant_suffix,configuration_type,configuration_name,specifications,bounding_box,page_number,notes,created_at
64,9,1105-63-12,-12,STANDARD,,"{""Artikelnr"": ""1105-63-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""27,7"", ""Arb.tr. MPa"": ""28,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,84""}","[173.96000035603842, 350.50499773378726, 537.8899688720703, 363.6049972439989]",7,,2025-10-30 12:58:32
65,9,1105-63-16,-16,STANDARD,,"{""Artikelnr"": ""1105-63-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""35,6"", ""Arb.tr. MPa"": ""20,0"", ""Böjradie mm"": ""210"", ""Vikt kg/m"": ""1,14""}","[173.96000035603842, 363.6049972439989, 537.8899688720703, 376.70499675421064]",7,,2025-10-30 12:58:32
66,9,1105-63-20,-20,STANDARD,,"{""Artikelnr"": ""1105-63-20"", ""ID mm"": ""32,0"", ""ID tum"": ""1 1/4\"""", ""YD mm"": ""43,5"", ""Arb.tr. MPa"": ""17,5"", ""Böjradie mm"": ""300"", ""Vikt kg/m"": ""1,52""}","[173.96000035603842, 376.70499675421064, 537.8899688720703, 389.80499626442236]",7,,2025-10-30 12:58:32
67,10,1105-21-04,-04,STANDARD,,"{""Artikelnr"": ""1105-21-04"", ""ID mm"": ""6,5"", ""ID tum"": ""1/4\"""", ""YD mm"": ""13,4"", ""Arb.tr. MPa"": ""45,0"", ""Böjradie mm"": ""45"", ""Vikt kg/m"": ""0,30""}","[172.93565899392834, 279.6090139389038, 532.6655168204472, 292.869012260437]",8,,2025-10-30 12:59:01
68,10,1105-21-05,-05,STANDARD,,"{""Artikelnr"": ""1105-21-05"", ""ID mm"": ""8,0"", ""ID tum"": ""5/16\"""", ""YD mm"": ""15,0"", ""Arb.tr. MPa"": ""42,0"", ""Böjradie mm"": ""60"", ""Vikt kg/m"": ""0,35""}","[172.93565899392834, 292.869012260437, 532.6655168204472, 306.1290105819702]",8,,2025-10-30 12:59:01
69,10,1105-21-06,-06,STANDARD,,"{""Artikelnr"": ""1105-21-06"", ""ID mm"": ""10,0"", ""ID tum"": ""3/8\"""", ""YD mm"": ""17,4"", ""Arb.tr. MPa"": ""38,5"", ""Böjradie mm"": ""70"", ""Vikt kg/m"": ""0,46""}","[172.93565899392834, 306.1290105819702, 532.6655168204472, 319.3890089035034]",8,,2025-10-30 12:59:01
70,10,1105-21-08,-08,STANDARD,,"{""Artikelnr"": ""1105-21-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""20,6"", ""Arb.tr. MPa"": ""34,5"", ""Böjradie mm"": ""90"", ""Vikt kg/m"": ""0,58""}","[172.93565899392834, 319.3890089035034, 532.6655168204472, 332.6490072250366]",8,,2025-10-30 12:59:01
71,10,1105-21-10,-10,STANDARD,,"{""Artikelnr"": ""1105-21-10"", ""ID mm"": ""16,0"", ""ID tum"": ""5/8\"""", ""YD mm"": ""23,7"", ""Arb.tr. MPa"": ""29,0"", ""Böjradie mm"": ""130"", ""Vikt kg/m"": ""0,68""}","[172.93565899392834, 332.6490072250366, 532.6655168204472, 345.9090055465698]",8,,2025-10-30 12:59:01
72,10,1105-21-12,-12,STANDARD,,"{""Artikelnr"": ""1105-21-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""27,7"", ""Arb.tr. MPa"": ""28,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,86""}","[172.93565899392834, 345.9090055465698, 532.6655168204472, 359.169003868103]",8,,2025-10-30 12:59:01
73,10,1105-21-16,-16,STANDARD,,"{""Artikelnr"": ""1105-21-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""35,6"", ""Arb.tr. MPa"": ""20,0"", ""Böjradie mm"": ""210"", ""Vikt kg/m"": ""1,23""}","[172.93565899392834, 359.169003868103, 532.6655168204472, 372.4290021896362]",8,,2025-10-30 12:59:01
